text,label,label_name,text_length,text_word_count
excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved,2,love,250,47
feel pretty safe blog img src http,1,joy,53,13
feel pretty eager get done fun plan quilting,1,joy,71,17
feeling horny ask let go home,2,love,49,12
think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,4,fear,198,42
feel stranger strange land raising son place father ancestral home,5,surprise,125,30
left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,1,joy,134,23
feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day,1,joy,161,37
still feeling strong,1,joy,26,5
burst tear devastating release feeling thought seemed know rich also go space without dumping,1,joy,186,36
wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,3,anger,145,31
suppose feel badly bit skeptical pain last month shes hyperchondria exaggeration habit past though never openly questioned,4,fear,199,37
clench corner bed feel assured,1,joy,50,11
also feel like selfish grateful life amazing thing,3,anger,109,24
called god seen god book figured god right name feeling utterly affirmed accepted without question,2,love,143,28
know perhaps girl office nice short hair perhaps feeling rebellious,3,anger,119,23
feel miserable family type celebrates eid,0,sadness,84,17
might go get car wash feeling really generous car need,1,joy,73,17
still feel sleep deprived almost sleeping night giving u,0,sadness,78,14
feel really violent right,3,anger,36,7
bloging sitting feeling content dog amp cat etc know lucky truth,1,joy,126,28
started feeling funny friday woke sick dog,5,surprise,63,14
feel need protect parent witch hunt repressed memory therapy,0,sadness,95,18
feel disgusted even associated woman race nationality,3,anger,81,15
laughed bitterly wasnt feeling bitter,3,anger,56,10
know feeling thought wished could u u knew however much hated first experience would remember forever,0,sadness,208,43
feeling quite mellow wanted soft easy look wear beginning cold,1,joy,92,20
told maybe need time think ive feeling indecisive thing lately,4,fear,99,19
still feel genre disservice story resolved artifically,1,joy,81,14
always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,1,joy,250,56
remember feeling really terrified brazil bus going steep mountain hill side mountain middle big storm wondering going fall,4,fear,200,41
could feel whimper thought unloved uncared,0,sadness,72,14
im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,5,surprise,185,40
im sorry wasnt humor post im feeling funny,5,surprise,83,17
feel ive got foot door fantastic world walking running trail fell mountain,1,joy,111,22
say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,3,anger,183,38
feel strange coming back work one day holiday,4,fear,59,12
im clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,3,anger,183,32
fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girl,0,sadness,262,52
could claim redeem genre leave feeling entirely frustrated point beating head wall either,3,anger,141,28
feel sad hopeless,0,sadness,26,6
im getting feeling class little intimidated concept lit,4,fear,87,17
still feel groggy get routine son,0,sadness,69,17
feeling view isnt going popular thats fine,1,joy,69,15
want hold feeling shocked awe wonder forever,5,surprise,61,12
heard rumour st year exam result fear might one failure,4,fear,107,24
want feel valued appreciated know people love arent going anywhere even nature relationship change,1,joy,147,29
know day feel distracted,3,anger,50,10
use regularly relaxing music always feel invigorated afterward,1,joy,76,12
im feeling distracted tend practice eye shut much possible,3,anger,78,15
feel like perfect w see youtube influence even know trend,1,joy,77,16
specifically wanted tango feeling shy mak quite opposite hard get far enough away get good pic lol,4,fear,129,25
also feel weird sleeping bed two slept,4,fear,84,19
wish okay thinking earlier today here thing cooped amp restless made feel needy,0,sadness,136,28
ive lost weight could fit tiny skirt ive unable wear didnt feel confident,1,joy,136,28
hope feel bit creative soon miss presence life blog,1,joy,83,18
fan current president conservative made feel unwelcome,0,sadness,86,18
enclose verse could weigh much thinking feeling curious hear odd couple,5,surprise,110,21
begin feel complacent life,1,joy,44,9
feel vulnerable alone,4,fear,27,5
remember feeling inspired thinking fine example parenting,1,joy,80,14
feel like always one getting punished stupid thing feel like chastised behaving,0,sadness,114,23
really feel life perfect right isnt much ask hope everything would stay,1,joy,130,28
im simply feel contented,1,joy,32,6
im saying cut everyone life feel important find comfort solitude meditation working project alone,1,joy,136,25
think im stupid feeling nervous,4,fear,44,8
feel honored,1,joy,20,5
feeling act god work life amazing feeling,5,surprise,76,18
feel im like bird flying air carefree manner,1,joy,65,15
revise reply mind make sure reply sound appropriate enough person receive reply feel offended,3,anger,182,35
felt sad friend mine died felt something irrevocably gone away,0,sadness,97,20
died would alex matt feel regretful coming visit,0,sadness,65,13
feel educating family supporting educationg mama papa key,1,joy,83,14
im sure lost feel like everyone hostile toward hate feeling,3,anger,106,22
feel like boring sewing make since easy nothing else say fabric usage,0,sadness,134,27
always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,1,joy,140,24
feel like talented young man feel talented work,1,joy,80,19
feel curious thing around,5,surprise,43,8
feel reason apart others life im help become something push succeed successful happy,1,joy,150,30
feel uncomfortable guess,4,fear,58,13
feel pretty mellow far whatever healing wounding process may getting underway,1,joy,91,15
wonder sometimes whether added antagonism misunderstanding many people towards u feel reluctant wholeheartedly support traditional armistice day remembrance,4,fear,213,32
leg would feel shitty mile would come around like always,0,sadness,82,17
know unfair reaction run way explain feel shaken best come right,4,fear,126,29
seriously feel blessed support home amazing,2,love,76,16
feel abused maligned mostly tired nervous feeling anticipating danger,0,sadness,86,14
feeling pretty restless right typing,4,fear,56,10
know gosman touristy place go montauk area infrequent visitor area want head harbor feel gentle cawing seagull lapping water wood piling relaxing breeze coming water,2,love,265,51
admit hilarious e card seriously exactly feel stressed feel moment could start hy,0,sadness,131,28
wrote last year feeling dull inarticulate normal,0,sadness,75,14
id kick gear feel irritable motivation ever,3,anger,82,16
feel child innocent feeling illustrating,1,joy,50,9
satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger,2,love,195,36
start feel resentful,3,anger,30,6
spend vacation obligation headache feeling like emotional blackmailed three place,0,sadness,139,25
feel herpes coming would surprised point make checkup clinic wednesday,5,surprise,127,26
feel fucked like everyday life,3,anger,41,9
ive worked really hard year try make child class feel like valued,1,joy,96,20
feeling disheartened word late,0,sadness,50,10
feel like bitchy time upon retrospect think trying shake,3,anger,126,28
still second guess still terrible time making definitive decision certain truth know feel assured truth,1,joy,178,32
feel like egg benedict something equally delicious,1,joy,69,13
im feeling way trusting,1,joy,45,8
im feeling inspired summery element favorite past time beach bummin,1,joy,85,15
feel smiled love even gorgeous,1,joy,56,12
continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam,0,sadness,249,45
make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely,1,joy,153,26
say feel sympathetic,2,love,39,9
feeling eager hopped tube ride eye london,1,joy,76,17
go online see friend talking another one talking feel ignored feel unloved,0,sadness,108,24
monitoring say anything ever come across blog feel offended please dont stop,3,anger,142,29
feel like weird cancer one time,5,surprise,59,14
want feel safe well maybe maybe there small chance feel joy dream come true,1,joy,122,27
im feeling cranky,3,anger,17,3
also think puzzling particular administrator singled praise ability get student read feel ssr time productive use class time,1,joy,205,40
tried fill befriending people knew using didnt care needed feel accepted even complete loser,2,love,160,33
feel stressed always,0,sadness,22,4
remember feeling another cramp also ignored,0,sadness,54,10
hope feel mellow well fed well slept peace within external world,1,joy,88,17
also learned take lot effort positive thinking break tear feeling exhausted guilty better mom,0,sadness,161,32
im feeling awful hung friend new baby day,0,sadness,83,17
feel relaxed fine,1,joy,28,6
feel suffering really feel pain,0,sadness,47,10
go sleep feel giving precious time something else life,1,joy,88,21
feel like neglecting beloved mom blog,1,joy,52,11
shalt say co din feel thing wrote hw keen xxx,1,joy,76,20
feel terrified like im edge precipice staring ahead,4,fear,70,14
feel totally listless exam come gone whole five month front uni free time,0,sadness,130,29
feel furious right life advocate tell live die lobbying supporting politician sympathic view,3,anger,157,28
feel abused way,0,sadness,37,10
im still paying attention feel distracted,3,anger,47,8
started third block feeling hot cold tingly time knowing still five hour examination ahead idea would good,2,love,187,39
im hesitant make suggestion feel outcome would sincere,1,joy,85,16
feel terribly fond majority precise time,2,love,65,13
feel gaining control damaged good aspect personal security,0,sadness,88,15
bombed first interview left second interview feeling pretty fan freaking tastic,1,joy,103,18
think kind taken u long build good inventory sauce oil spice non perishable feel like chance making something delicious without specifically go buy every single item recipe,1,joy,251,48
feel advise dad whose child soon become teenager cool pull kid high school pick smelly jalopy plant coming window,1,joy,197,41
feel victimized drag country head sand traditionalist hesitate call conservative fear offending real honest god conservative still think world created year ago stuff like skeletal remains kind hoax,0,sadness,283,50
would feel lucky call material kit site mine beautifully curated,1,joy,108,21
blood proved reason feeling lethargic rubbish low iron prescribed iron tablet,0,sadness,157,32
mind feel like mind dangerous life,3,anger,66,16
feel like love everyone least compassionate toward others,2,love,72,14
feel punished neglecting,0,sadness,52,11
feel like doesnt capture beauty lovely polish,2,love,67,13
feel like lost main root feel le secure emotionally financially socially,0,sadness,99,19
feel like bite bullet every time think feel stressed im fully supported decision,0,sadness,146,30
know obnoxiously immature sounding verbal tic voice kind nasal always come across like sharpest tool shed especially feeling awkward knowing knowing know,0,sadness,241,47
id terrible nightmare feeling little disturbed,0,sadness,67,12
didnt want walk passed case customer feel disturbed,0,sadness,75,14
want sufferer able find hope battle help feel alone,0,sadness,117,26
feeling exceptionally reluctant go school tomorrow even though monday timetable pretty good,4,fear,117,20
festive feel delicious wheeeeee great night,1,joy,67,13
looking forward beaten feeling like disappointment husband emotional pain,0,sadness,117,22
im sick feeling crappy,0,sadness,25,5
feel like almost convinced going pattern,1,joy,69,14
also wear im wearing dress make feel slutty feel like antique underwear obviously little bit edgy maybe little bit little bit,2,love,184,36
feel perverse pride self control managed stay ordered reach tempting human flesh close u,0,sadness,147,30
feel impatient easily annoyed outraged blatant defiance seems olivias prominent characteristic day,3,anger,139,23
positively giddy kid left morning last official class year im feeling little sad,0,sadness,133,26
feel supportive also cant help feel jealous,2,love,58,12
mainly like text feel like much clever written word rather spoken,1,joy,111,23
seriouly feel respected dont privacy ordered around,1,joy,89,18
said word devotee feel relieved hear title deen bandhu fallen person become afraid title uplifter devotee consider true devotee hence unworthy benefit aspect personality,1,joy,298,61
personality feel pain suffering,0,sadness,48,8
guess would feel like joseph walt trusting care mother finance six month died time want defend self god make quiet,1,joy,206,43
warming starting feeling little lethargic,0,sadness,52,9
feel excelent sometimes there nothing especially since im really keen video game anymore watch bit anime movie there got life,1,joy,195,39
wonder master feeling r wanting eager please master could much enjoy attention wrong desire return affection,1,joy,217,47
im feeling little bit positive thing quite hard first saving eaten quickly cost didnt want become burden boyfriend weve come end im feeling brighter inspired thing come,1,joy,270,53
im feeling rather sentimental right say feel lucky max mom,0,sadness,96,20
make show feel isolated crowd ill know wrong anti social feeling,0,sadness,103,21
ive learned turn emotion often find feeling completely blank mother cry continuously suicidalness,0,sadness,166,29
feel loyal style,2,love,21,5
understand may feel youd rather bit vulnerable homeless london precise way,4,fear,124,24
finally stop feeling listless like waste space,0,sadness,61,12
know im feeling agitated side effect high dose,4,fear,75,17
feel shift positive,1,joy,46,11
feeling brave enough,1,joy,25,5
fear thief,4,fear,13,3
feel clever nov,1,joy,17,4
always spend money mean feel dissatisfied exit store,3,anger,90,18
im feeling really quite angry,3,anger,29,5
feel kerry didnt supporting civil union gay equality,2,love,65,12
feel really ashamed,0,sadness,21,4
feel amazing people life,5,surprise,46,10
finally left feeling judged ridiculed intelligent,1,joy,68,11
starting feel bit insulted stranger,3,anger,53,11
many day feel hopeless today light end yellow brick road shining little brighter,0,sadness,124,25
actually feel sorrowful,0,sadness,25,4
see woman wearing boot feel envious want curse,3,anger,66,14
feel feel tell together apologize make keep loving bit bit,2,love,123,26
go say feeling impressed youre naomi klein right,5,surprise,83,17
began feel sens dull cold black unconsciousness came,0,sadness,88,17
suspect feel le fond private,2,love,40,8
honoured young woman felt comfortable enough ask kind faux hawk thing going back must looked dykey enough feel safe talking,1,joy,194,41
wonder cast caveman told perfect part feel insulted complimented,3,anger,130,28
feel convinced plus many diverse price tag feel sure everyone come fund plot lighted relatively economically,1,joy,164,30
feel empty baby isnt,0,sadness,37,8
stopped feeling exhausted href http provokingbeauty,0,sadness,58,9
im feeling font friendly,1,joy,24,4
hand bead consciously breathing consciously working feel calm list thing accomplish afternoon,1,joy,133,23
always feel intimidated people especially always compare people ever since young,4,fear,119,21
made feel rotten,0,sadness,24,6
started feeling hostile checking hemorrhoid,3,anger,58,10
love wearing new shoe feel glamourous get pair designer shoe love box trimming come,1,joy,147,31
know largely fact feeling romantic sexual successfully hidden,2,love,121,22
love feeling something warmly hugging feeling precious small precious someone something,1,joy,119,20
im feeling far mellow normal,1,joy,38,7
became dismayed studied people wearing started feeling like though outfit gorgeous bought way,1,joy,152,27
dont want wax draw anything need unibrow maybe get rid spare hair creeping toward eyelid im feeling brave,1,joy,182,39
im feeling lucky width li style border px list style outside margin px px,1,joy,73,14
recall high school feeling longing watched olympic runner feel st,2,love,102,19
woke feeling confident watched bodypump dvd gather coaching tip compulsory cue,1,joy,105,18
didnt say strong feeling always make skeptical first,4,fear,70,13
want talk limited time phone current arrangment feel hesitant bring,4,fear,137,29
beginning feel there good chance might pas,1,joy,61,13
feel like little control help sweet pea better know ahead,1,joy,94,21
feel like receiving end violent attack,3,anger,56,13
feel worthwhile document people familiar batch file,1,joy,87,17
feeling especially thankful many small blessing life right,1,joy,89,17
hoping weatherman right forecast stay home dont venture rain tomorrow feeling kind creative,1,joy,138,27
feel like im edge microcosm one awkward moment missed party id outside,0,sadness,114,24
feel bit funny actually,5,surprise,27,6
learnt nothing else last two year best feel way trusting instinct,1,joy,109,24
feeling also blossoming eager anxiety,1,joy,47,9
feel burdened share,0,sadness,27,6
always want nemo side sleeping without feel weird even though doesnt happen often get,5,surprise,119,24
im feeling outfit heel gorgeous,1,joy,52,10
feel confused,4,fear,26,5
feel session useful gave tool need move forward life,1,joy,86,19
feel selfish bringing loneliness child know parent newtown grieving lost baby,3,anger,119,22
took away disappointed feeling paining gave heart heal lord one love never betrayed never lose loyalty even loyal,2,love,187,39
feel envious embarrassed,3,anger,30,5
could feel frantic need need make,4,fear,60,14
feeling overwhelmed responsibility teacher someone trusting precious gift honor,5,surprise,146,26
feel tranquil right great,1,joy,38,8
feel frustrated new music new lyric clearly nothing,3,anger,102,20
thought going talk try work thing shocked find steve decided wanted thing broke feeling unloved,0,sadness,188,41
wouldnt beared witness incredibly well spoken bouncer making emo kid feel completely unwelcome,0,sadness,111,18
tend stop breathing feeling stressed,0,sadness,50,10
smoker year quit week ago right finished book cant believe free feel knew quit terrified life without cigarette,4,fear,187,40
go mailbox talk mailman grocery clerk etc matter small step limited risk complete total willingness experience whatever thought feeling sensation emerge important,1,joy,240,43
already feeling frantic,4,fear,28,5
feel like insecurity good thing first started writing pictured,1,joy,90,18
feel complimented insulted,3,anger,38,6
crave fall submission feel submissive least,0,sadness,76,16
feel tender fine,2,love,46,11
feel irritated pissed even like someone wake moment edge falling deep slumber,3,anger,125,26
made work feeling little groggy,0,sadness,50,12
want love feel like sort hindrance thats keeping loving,2,love,96,20
feel fond ok second thought really sensitive spelled everything,2,love,108,19
ill get round quarter im feeling hopeful one,1,joy,66,13
im starting feel unwelcome life people already tell,0,sadness,75,14
feel absolutely fantastic hope baby,1,joy,52,10
watched snow fall accumulate conifer tree shoveling shirt sleeve feeling vigorous,1,joy,122,22
feel bitter honkerblonked general,3,anger,51,9
feeling father already convinced,1,joy,63,12
love feel passionate living dream gotten taste feel like nothing stop,2,love,129,28
play rain squeal glee feeling mud squishing toe enjoy pretty much anything take place outdoors,1,joy,140,26
feeling humorous put cold caller hold,1,joy,48,10
busy stuff never blog thread make feel miserable,0,sadness,106,20
feel energized curious life god potential give something back society finding someone heart,5,surprise,149,26
feel privileged also lot work,1,joy,51,12
im pretty happy little nauseated side feel thrilled,1,joy,67,13
close eye hear pitiful wailing sound cry taste salty taste tear feel anger hurt saturating heart,0,sadness,152,31
bought virtually fat free thousand island feeling impressed hold large quantity substance leaf lettuce cucumber friend total sugar becomes burn fat,5,surprise,236,43
im sure folk virginia florida handful swing state agree feel put upon insulted constant barrage,3,anger,146,27
feel like im putting innocent man death row,1,joy,51,11
sure else help feel smart,1,joy,52,13
begin feel every waking moment devoted work,2,love,59,12
feel thankful lesson learning,1,joy,47,10
feel longing sadness see family child,2,love,84,17
feel distinctly called clermont focus little one seem naughty,2,love,84,15
hope feel glad gave many thing including memory cherish,1,joy,97,19
feeling pretty worthless right,0,sadness,39,7
feel project clever useful enough figured would start sharing instructables wrote first one weekend,1,joy,146,28
continued think along line probably would done dish anger got wed fight feeling completely abused,0,sadness,174,34
didnt feel especially nervous finland landed paris little unsure would ahead u thought st grade student janne suominen,4,fear,164,31
feel envious kid certain moment,3,anger,55,11
feeling like pretty crappy mom,0,sadness,38,8
im feeling pissed aac feeling kind miserable frustrated life whole week,3,anger,104,19
im scared anymore im fine feel terrific surgery,1,joy,70,14
still feel vulnerable around,4,fear,34,6
honestly sure feel stunned,5,surprise,41,9
feel caring person attract caring people life,2,love,82,16
im left feeling quite embarrassed say nothing new,0,sadness,65,12
feel unwelcome place buti cant decide scared anything ok situation staying dead end situation afraid thing get worse,0,sadness,206,42
may may cried thanking making child feel special loved,1,joy,95,19
really want go buy yardage art gallery play feel amazing,5,surprise,97,20
feel like shes losing sense self adapt think loyal,2,love,89,20
feel burdened several loved one miss big kid havent seen since friday,0,sadness,92,19
feel still really low abdomen,0,sadness,40,9
feel like welcomed tight knit family make sure feel alone ever,1,joy,91,21
feel doubtful,4,fear,23,5
usually use smaller lego however year student fine motor delay want student feel successful,1,joy,136,26
get exercise feel like im something worthwhile meantime,1,joy,79,14
feel like life rich fulfilling know people look way live feel misplaced pity,1,joy,124,27
feel blessed amazed yes excited,2,love,42,8
feel hesitant talking,4,fear,40,7
try get least minute day five day week though known skip workout feeling particularly lethargic lazy,0,sadness,144,31
feeling beaten sick utterly devoid hope ever life want,0,sadness,101,21
feel hesitant comment want add pileon seems clear involved learned past experience interested applying learning future project,4,fear,224,42
feel quite passionate communion tremendous importance personally theologically,2,love,105,16
im feeling happy well,1,joy,25,5
find much time think without feeling depressed actually able write imagine without feeling trapped like missing something near constant feeling city,0,sadness,227,41
got feeling brig sincere strong desire help others become successful financially also building strengthening relationship christianity,1,joy,187,28
feel like ive fake feeling lot often would liked,0,sadness,83,19
feeling energetic decided going bike rest temple,1,joy,87,18
im really like said understand way feel toni ight blamed excess merican dream seldom witnessed never er seen hah hah hah hah hah,0,sadness,167,33
happpy get good result field academic athletics,1,joy,74,15
dont know want work always something make feel stressed anxious work whatever job may job require sort rule pressure,0,sadness,193,38
id pop chair feeling like something worthwhile,1,joy,80,15
really hoping theyd get far enough ahead u could feel like navigating delighted punching second control headed onto trail wood,1,joy,219,42
feel like normally would angry thats actually think could never beautiful size,3,anger,116,23
wonder many people feel like perspective think sake without wanting turn result crappy work,0,sadness,213,47
feel indecisive whether feel book huckleberry finn censored,4,fear,87,16
known like kamiki kun laugh nozomi feel unpleasant knot stomach must think fool nonchan,0,sadness,141,29
made choice start recognizing feeling unloved kick choose keep persistence level allowing old reaction shut,0,sadness,184,35
feel like im hated celebrated cant wait till day say made,3,anger,90,21
still feel funny writing like maybe call spirit guide really observant cheerleader something,5,surprise,121,21
would rather feel nothing feel surprised find life depressing grey unrewarding,5,surprise,130,24
feel comfortable decision,1,joy,42,7
get really sweaty episode stomach feel really funny like free falling,5,surprise,101,19
feeling overwhelmed lately,4,fear,41,7
learnt much wonderful world beaubronz feel lovely tanning brand fit perfectly latest mantra stolen boudoir lash mother asma docrat,2,love,176,30
feel rebellious particularly like watching romcoms get feeling may pretty good writing,3,anger,132,25
didnt feel welcomed first entered morris quickly changed left feeling happy,1,joy,105,19
im contemplating feeling skeptical,4,fear,38,5
ive become anxious recent time certainly feeling amongst people belief siege often disadvantaged looked considered way different faith make le worthy regard said,0,sadness,285,51
feel like care im bit heartless,3,anger,56,13
hate chemo thought toxin washing every single cell making feel horrible make cringe,0,sadness,123,22
feel honoured hosted series talented,1,joy,69,14
love feel threatened around little,4,fear,57,12
feel reading allthingsbucks blog brought tear eye lump throat feeling worthwhile thing upset shouldnt write lame blog,1,joy,199,39
